Experiment,Type,Webapp,Browser,CPU,Memory,Energy
5,Without,imdb,chrome,50.20689655,1348631.172,152.9781643
6,Without,imdb,chrome,48.14482759,1346093.724,153.9445312
7,Without,imdb,chrome,45.475,1355176.071,152.5015956
8,Without,imdb,chrome,58.88965517,1342531.345,150.1924616
9,Without,imdb,chrome,68.96428571,1362763.821,151.5281753
10,Without,imdb,chrome,61.2,1360852.821,150.2787693
1,Without,imdb,firefox,35.3097561,1370920.878,139.8926277
2,Without,imdb,firefox,24.16923077,1501618,119.9421331
3,Without,imdb,firefox,27.621875,1393580.313,108.6657869
4,Without,imdb,firefox,33.29333333,1370987.333,110.5478277
5,Without,imdb,firefox,45.26666667,1386653.533,115.4605165
6,Without,imdb,firefox,23.26071429,1482058.214,125.5313657
7,Without,imdb,firefox,40.19285714,1391624.821,123.7627361
8,Without,imdb,firefox,45.89655172,1381128.103,120.262441
9,Without,imdb,firefox,37.73103448,1385398.034,120.0628775
10,Without,imdb,firefox,42.58571429,1394749.679,120.6710131
1,Without,investing,chrome,14.8,1257021.667,93.74216527
2,Without,investing,chrome,27.34634146,1248168.512,80.95800947
3,Without,investing,chrome,25.6025,1240494.275,80.96913501
4,Without,investing,chrome,27.87,1183311.025,80.34364457
5,Without,investing,chrome,22.66666667,1191158.333,79.85168455
6,Without,investing,chrome,23.87428571,1176586.2,75.7125408
7,Without,investing,chrome,23.66052632,1179289.211,77.16875508
8,Without,investing,chrome,18.90243902,1175210.976,80.20621801
9,Without,investing,chrome,13.74615385,1178502.513,80.95761019
10,Without,investing,chrome,33.05121951,1184872.244,80.02305852
1,Without,investing,firefox,25.11555556,1365084.533,107.7961697
2,Without,investing,firefox,16.75238095,1392906.81,84.41286368
3,Without,investing,firefox,22.72777778,1391181.028,68.28366578
4,Without,investing,firefox,25.05294118,1378370.235,73.58936241
5,Without,investing,firefox,23.67272727,1591494.697,76.04090166
6,Without,investing,firefox,24.30294118,1372221.265,70.08466456
7,Without,investing,firefox,21.84324324,1375667.432,73.41579857
8,Without,investing,firefox,28.15135135,1375493.27,68.95264986
9,Without,investing,firefox,20.24871795,1373026.897,74.93744505
10,Without,investing,firefox,25.53055556,1393998.417,72.16500313
1,Without,livejournal,chrome,17.53125,1238353.021,96.7406268
2,Without,livejournal,chrome,11.19591837,1227592.918,87.80087961
3,Without,livejournal,chrome,19.09166667,1226854.083,85.1271794
4,Without,livejournal,chrome,14.61875,1230792.479,81.76391256
5,Without,livejournal,chrome,18.13695652,1226722.609,82.83116914
6,Without,livejournal,chrome,26.77826087,1229526.065,79.18566138
7,Without,livejournal,chrome,22.6804878,1232910.829,76.51695301
8,Without,livejournal,chrome,22.35,1229814.381,77.05751535
9,Without,livejournal,chrome,20.63636364,1237975.114,75.67615964
10,Without,livejournal,chrome,26.8575,1239982.975,77.95746186
1,Without,livejournal,firefox,32.71818182,1234543.891,129.0627311
2,Without,livejournal,firefox,25.54150943,1227132.189,106.9593406
3,Without,livejournal,firefox,16.0625,1278127.375,95.9371864
4,Without,livejournal,firefox,26.82093023,1290653.86,83.95498486
5,Without,livejournal,firefox,25.62093023,1281949.419,79.8431784
6,Without,livejournal,firefox,20.42380952,1269286.167,76.2232772
7,Without,livejournal,firefox,19.1,1279647.439,77.44162364
8,Without,livejournal,firefox,20.35,1284502.357,76.70709559
9,Without,livejournal,firefox,14.60238095,1284819.333,76.27726579
10,Without,livejournal,firefox,11.03333333,1270535.897,73.67494344
1,Without,mirror-co-uk,chrome,26.7195122,1354300.78,83.26632653
2,Without,mirror-co-uk,chrome,19.54736842,1341791.184,74.23681186
3,Without,mirror-co-uk,chrome,24.2,1332331.641,78.67505488
4,Without,mirror-co-uk,chrome,15.76578947,1328088.684,86.96273938
5,Without,mirror-co-uk,chrome,15.87,1337960.65,78.29609992
6,Without,mirror-co-uk,chrome,20.16829268,1333948.195,74.44428359
7,Without,mirror-co-uk,chrome,19.82682927,1339948.22,72.20027312
8,Without,mirror-co-uk,chrome,18.88461538,1346558.308,72.47275706
9,Without,mirror-co-uk,chrome,22.61,1367081.275,78.25448252
10,Without,mirror-co-uk,chrome,22.35526316,1358602.237,77.12544015
1,Without,mirror-co-uk,firefox,25.515,1281813.85,105.8213193
2,Without,mirror-co-uk,firefox,19.42708333,1258005.292,93.62909806
3,Without,mirror-co-uk,firefox,24.6625,1270128.95,82.89482513
4,Without,mirror-co-uk,firefox,19.0625,1287291.2,86.90164171
5,Without,mirror-co-uk,firefox,24.8,1264098.927,74.02172177
6,Without,mirror-co-uk,firefox,25.66052632,1266348.447,70.67653409
7,Without,mirror-co-uk,firefox,23.57435897,1279403.821,73.40042359
8,Without,mirror-co-uk,firefox,26.03076923,1278662.128,69.56789379
9,Without,mirror-co-uk,firefox,24.38378378,1278749.703,72.27542707
10,Without,mirror-co-uk,firefox,23.6,1280162.412,72.08660038
1,Without,psychologytoday,chrome,18.69069767,1180052.814,91.34510705
2,Without,psychologytoday,chrome,22.55555556,1172055.356,69.45077878
3,Without,psychologytoday,chrome,26.95681818,1171854.136,71.06847041
4,Without,psychologytoday,chrome,22.82222222,1168523.533,82.08209705
5,Without,psychologytoday,chrome,21.80212766,1173294.83,71.10017488
6,Without,psychologytoday,chrome,23.84893617,1179782.468,76.57836804
7,Without,psychologytoday,chrome,24.8,1186574.596,75.94670334
8,Without,psychologytoday,chrome,23.20638298,1165221.702,71.68897498
9,Without,psychologytoday,chrome,16.84042553,1171604.702,76.42304858
10,Without,psychologytoday,chrome,23.61276596,1170699.064,72.48942181
1,Without,psychologytoday,firefox,21.07045455,1174970.136,91.69417661
2,Without,psychologytoday,firefox,17.47173913,1170423.783,76.14793643
3,Without,psychologytoday,firefox,19.90465116,1177542.116,75.15522243
4,Without,psychologytoday,firefox,18.0952381,1178647.238,74.08483568
5,Without,psychologytoday,firefox,25.84285714,1184184.333,73.3395673
6,Without,psychologytoday,firefox,22.57804878,1187478.707,71.47343182
7,Without,psychologytoday,firefox,20.19302326,1194768.163,76.33732433
8,Without,psychologytoday,firefox,23.99302326,1179737.674,72.09405906
9,Without,psychologytoday,firefox,23.11818182,1188010.432,73.4451308
10,Without,psychologytoday,firefox,19.42045455,1189694.273,70.55067715
1,Without,science-org,chrome,33.27906977,1266843.419,105.8061003
2,Without,science-org,chrome,26.21627907,1244386.419,100.3624772
3,Without,science-org,chrome,29.10238095,1238987.452,95.55496782
4,Without,science-org,chrome,26.78,1240483.4,95.5664541
5,Without,science-org,chrome,12.41282051,1228254.974,91.41318345
6,Without,science-org,chrome,23.37209302,1232860.837,90.30945418
7,Without,science-org,chrome,15.956,1231704.58,100.9450033
8,Without,science-org,chrome,18.70754717,1244901.415,91.66092138
9,Without,science-org,chrome,9.587234043,1246499.17,89.0527829
10,Without,science-org,chrome,16.32941176,1249016.882,91.71087655
1,Without,science-org,firefox,20.15106383,1355661.894,98.88466093
2,Without,science-org,firefox,6.284615385,1415643.821,89.74824373
3,Without,science-org,firefox,14.98333333,1409689.861,91.54978509
4,Without,science-org,firefox,18.08333333,1420976.111,89.32150774
5,Without,science-org,firefox,11.68205128,1394861.205,89.91642393
6,Without,science-org,firefox,15.95714286,1411397.19,98.69334298
7,Without,science-org,firefox,12.81555556,1415465.733,96.40472276
8,Without,science-org,firefox,21.38510638,1416756.34,89.04759689
9,Without,science-org,firefox,13.99534884,1430514.767,88.4488461
10,Without,science-org,firefox,17.57857143,1421641.69,87.98901114
1,Without,speedtest-net,chrome,31.553125,1257821.188,116.707003
2,Without,speedtest-net,chrome,28.71470588,1250076.588,107.0333243
3,Without,speedtest-net,chrome,23.48571429,1230959.286,102.4292597
4,Without,speedtest-net,chrome,30.571875,1219880.594,97.8855793
5,Without,speedtest-net,chrome,34.96129032,1229572.806,99.16048244
6,Without,speedtest-net,chrome,27.43428571,1229045.857,100.6971524
7,Without,speedtest-net,chrome,28.31470588,1227453.824,98.36430225
8,Without,speedtest-net,chrome,42.340625,1228495.688,99.79508564
9,Without,speedtest-net,chrome,24.10571429,1223465.114,98.47957197
10,Without,speedtest-net,chrome,35.696875,1235483.563,97.1680352
1,Without,speedtest-net,firefox,32.94358974,1259961.487,236.4936767
2,Without,speedtest-net,firefox,35.43333333,1243341.515,207.3286789
3,Without,speedtest-net,firefox,31.84666667,1248113.567,201.537094
4,Without,speedtest-net,firefox,21.29310345,1250054,204.5648497
5,Without,speedtest-net,firefox,35.43,1248869.3,203.2469665
6,Without,speedtest-net,firefox,45.62222222,1244242.741,206.9932358
7,Without,speedtest-net,firefox,43.47241379,1240289.241,198.1290143
8,Without,speedtest-net,firefox,58.32857143,1244332.429,206.8825086
9,Without,speedtest-net,firefox,61.90740741,1261227.741,193.432607
10,Without,speedtest-net,firefox,58.92413793,1253848.897,190.75317
